start_airport,start_iata,start_icao,start_country_name,start_country_a2,end_airport,end_iata,end_icao,end_country_name,end_country_a2,route_name,total_flights,route_passengers,start_pax_total,end_pax_total,start_pax_pct,reporting_country,year,destination_in_western_europe
Barajas,MAD,LEMD,Spain,ES,Barcelona,BCN,LEBL,Spain,ES,Barajas - Barcelona,16308,2572893,59373123,51210817,4.3334,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Palma de Mallorca,PMI,LEPA,Spain,ES,Barajas - Palma de Mallorca,13306,1995104,59373123,27397471,3.3603,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Gran Canaria,LPA,GCLP,Spain,ES,Barajas - Gran Canaria,8905,1659106,59373123,11196595,2.7944,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Lisboa,LIS,LPPT,Portugal,PT,Barajas - Lisboa,11953,1557398,59373123,NA,2.6231,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Tenerife Norte,TFN,GCXO,Spain,ES,Barajas - Tenerife Norte,8307,1493755,59373123,5796902,2.5159,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Heathrow,LHR,EGLL,Great Britain (United Kingdom),GB,Barajas - Heathrow,9062,1476034,59373123,80788471,2.486,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Orly,ORY,LFPO,France,FR,Barajas - Orly,8165,1361645,59373123,31716559,2.2934,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Fiumicino,FCO,LIRF,Italy,IT,Barajas - Fiumicino,8089,1266980,59373123,43191420,2.1339,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Schiphol,AMS,EHAM,Netherlands (Holland),NL,Barajas - Schiphol,6543,1144416,59373123,71054718,1.9275,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Charles De Gaulle,CDG,LFPG,France,FR,Barajas - Charles De Gaulle,7174,1115987,59373123,75449170,1.8796,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Brussels Natl,BRU,EBBR,Belgium,BE,Barajas - Brussels Natl,7453,1084831,59373123,25569693,1.8271,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Frankfurt Main,FRA,EDDF,Germany,DE,Barajas - Frankfurt Main,7536,1071482,59373123,70066509,1.8047,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Gatwick,LGW,EGKK,Great Britain (United Kingdom),GB,Barajas - Gatwick,6755,1033454,59373123,43892982,1.7406,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Porto,OPO,LPPR,Portugal,PT,Barajas - Porto,8564,970110,59373123,NA,1.6339,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Franz Josef Strauss,MUC,EDDM,Germany,DE,Barajas - Franz Josef Strauss,6419,903151,59373123,47266254,1.5211,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Ibiza,IBZ,LEIB,Spain,ES,Barajas - Ibiza,6526,837007,59373123,7632907,1.4097,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Bilbao,BIO,LEBB,Spain,ES,Barajas - Bilbao,7042,835758,59373123,5814556,1.4076,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Malpensa,MXP,LIMC,Italy,IT,Barajas - Malpensa,5137,747778,59373123,28346074,1.2595,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Santiago,SCQ,LEST,Spain,ES,Barajas - Santiago,4676,719748,59373123,2869020,1.2122,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Zurich,ZRH,LSZH,Switzerland,CH,Barajas - Zurich,6285,693721,59373123,31292970,1.1684,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Vigo,VGO,LEVX,Spain,ES,Barajas - Vigo,5802,683930,59373123,1007566,1.1519,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,A Coruna,LCG,LECO,Spain,ES,Barajas - A Coruna,5698,680075,59373123,1341771,1.1454,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Geneve Cointrin,GVA,LSGG,Switzerland,CH,Barajas - Geneve Cointrin,4239,584185,59373123,17742225,0.9839,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Schwechat,VIE,LOWW,Austria,AT,Barajas - Schwechat,3614,564079,59373123,31258901,0.9501,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Marco Polo di Tessera,VCE,LIPZ,Italy,IT,Barajas - Marco Polo di Tessera,3859,555109,59373123,11454860,0.9349,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Dublin,DUB,EIDW,Ireland,IE,Barajas - Dublin,3700,554193,59373123,NA,0.9334,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Asturias,OVD,LEAS,Spain,ES,Barajas - Asturias,5435,548213,59373123,1392013,0.9233,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Lanzarote,ACE,GCRR,Spain,ES,Barajas - Lanzarote,3140,514886,59373123,6401678,0.8672,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Stansted,STN,EGSS,Great Britain (United Kingdom),GB,Barajas - Stansted,2985,502915,59373123,27745806,0.847,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Dusseldorf,DUS,EDDL,Germany,DE,Barajas - Dusseldorf,3723,487671,59373123,24588161,0.8214,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Sevilla,SVQ,LEZL,Spain,ES,Barajas - Sevilla,5208,486438,59373123,7454425,0.8193,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Tegel,TXL,EDDT,Germany,DE,Barajas - Tegel,2816,442693,59373123,24008455,0.7456,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Ciampino,CIA,LIRA,Italy,IT,Barajas - Ciampino,2289,392734,59373123,5850689,0.6615,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Eleftherios Venizelos Intl,ATH,LGAV,Greece,GR,Barajas - Eleftherios Venizelos Intl,2243,382783,59373123,NA,0.6447,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Linate,LIN,LIML,Italy,IT,Barajas - Linate,3125,365422,59373123,6535465,0.6155,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Malaga,AGP,LEMG,Spain,ES,Barajas - Malaga,4458,357258,59373123,19158321,0.6017,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Fuerteventura,FUE,GCFV,Spain,ES,Barajas - Fuerteventura,2125,351510,59373123,4935430,0.592,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Tenerife Sur,TFS,GCTS,Spain,ES,Barajas - Tenerife Sur,2055,342422,59373123,9350488,0.5767,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Valencia,VLC,LEVC,Spain,ES,Barajas - Valencia,4673,338217,59373123,8341358,0.5696,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Kastrup,CPH,EKCH,Denmark,DK,Barajas - Kastrup,1984,323034,59373123,28737167,0.5441,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Bergamo Orio Al Serio,BGY,LIME,Italy,IT,Barajas - Bergamo Orio Al Serio,1827,316346,59373123,13600898,0.5328,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Bologna,BLQ,LIPE,Italy,IT,Barajas - Bologna,2815,312967,59373123,9338293,0.5271,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Menorca,MAH,LEMH,Spain,ES,Barajas - Menorca,2713,311628,59373123,2983071,0.5249,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Jerez,XRY,LEJR,Spain,ES,Barajas - Jerez,2793,304260,59373123,1086607,0.5125,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Alicante,ALC,LEAL,Spain,ES,Barajas - Alicante,4099,299447,59373123,14627077,0.5043,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Blagnac,TLS,LFBO,France,FR,Barajas - Blagnac,3349,298199,59373123,9451746,0.5022,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Saint Exupery,LYS,LFLL,France,FR,Barajas - Saint Exupery,2568,273042,59373123,11461753,0.4599,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Provence,MRS,LFML,France,FR,Barajas - Provence,2452,245886,59373123,10030599,0.4141,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Capodichino,NAP,LIRN,Italy,IT,Barajas - Capodichino,1482,233298,59373123,10387667,0.3929,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Nantes Atlantique,NTE,LFRS,France,FR,Barajas - Nantes Atlantique,2160,220044,59373123,7000005,0.3706,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Almeria,LEI,LEAM,Spain,ES,Barajas - Almeria,2528,210688,59373123,914835,0.3549,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Hamburg,HAM,EDDH,Germany,DE,Barajas - Hamburg,1359,207250,59373123,16279030,0.3491,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Arlanda,ARN,ESSA,Sweden,SE,Barajas - Arlanda,1247,204549,59373123,NA,0.3445,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Granada,GRX,LEGR,Spain,ES,Barajas - Granada,2607,199065,59373123,1249920,0.3353,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,San Sebastian,EAS,LESO,Spain,ES,Barajas - San Sebastian,3487,198468,59373123,321078,0.3343,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Cote D'Azur,NCE,LFMN,France,FR,Barajas - Cote D'Azur,2212,193490,59373123,14277508,0.3259,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Berlin Brandenburg Willy Brandt,BER,EDDB,Germany,DE,Barajas - Berlin Brandenburg Willy Brandt,1132,192101,59373123,11028278,0.3235,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Manchester,MAN,EGCC,Great Britain (United Kingdom),GB,Barajas - Manchester,1130,185723,59373123,26895408,0.3128,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Pamplona,PNA,LEPP,Spain,ES,Barajas - Pamplona,2520,176999,59373123,232131,0.2981,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Bale Mulhouse,MLH,LFSB,France,FR,Barajas - Bale Mulhouse,1400,176131,59373123,8833877,0.2967,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Edinburgh,EDI,EGPH,Great Britain (United Kingdom),GB,Barajas - Edinburgh,1075,174172,59373123,14510779,0.2934,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Merignac,BOD,LFBD,France,FR,Barajas - Merignac,1937,163516,59373123,7618599,0.2754,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Peretola,FLR,LIRQ,Italy,IT,Barajas - Peretola,1400,159818,59373123,2860307,0.2692,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Helsinki Vantaa,HEL,EFHK,Finland,FI,Barajas - Helsinki Vantaa,798,146865,59373123,NA,0.2474,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,La Palma,SPC,GCLA,Spain,ES,Barajas - La Palma,812,144962,59373123,1386969,0.2442,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Luton,LTN,EGGW,Great Britain (United Kingdom),GB,Barajas - Luton,1082,135770,59373123,17961864,0.2287,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Birmingham,BHX,EGBB,Great Britain (United Kingdom),GB,Barajas - Birmingham,802,127527,59373123,11271854,0.2148,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Luxembourg,LUX,ELLX,Luxembourg,LU,Barajas - Luxembourg,1022,125768,59373123,NA,0.2118,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Pisa,PSA,LIRP,Italy,IT,Barajas - Pisa,719,122356,59373123,5357109,0.2061,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Melilla,MLN,GEML,Spain,ES,Barajas - Melilla,2038,117945,59373123,426064,0.1987,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Torino,TRN,LIMF,Italy,IT,Barajas - Torino,1353,115370,59373123,3839752,0.1943,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Gardermoen,OSL,ENGM,Norway,NO,Barajas - Gardermoen,731,112646,59373123,NA,0.1897,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Bristol,BRS,EGGD,Great Britain (United Kingdom),GB,Barajas - Bristol,714,109209,59373123,8146487,0.1839,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Luqa,MLA,LMML,Malta,MT,Barajas - Luqa,655,107512,59373123,NA,0.1811,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Brussels South,CRL,EBCI,Belgium,BE,Barajas - Brussels South,641,105814,59373123,8196702,0.1782,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Bari,BRI,LIBD,Italy,IT,Barajas - Bari,554,96299,59373123,5464123,0.1622,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Dubrovnik,DBV,LDDU,Croatia,HR,Barajas - Dubrovnik,651,94567,59373123,NA,0.1593,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Beauvais–Tille,BVA,LFOB,France,FR,Barajas - Beauvais–Tille,533,91414,59373123,3903522,0.154,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Catania Fontanarossa,CTA,LICC,Italy,IT,Barajas - Catania Fontanarossa,609,90668,59373123,9740700,0.1527,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Liverpool,LPL,EGGP,Great Britain (United Kingdom),GB,Barajas - Liverpool,524,83362,59373123,4972891,0.1404,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Elmas,CAG,LIEE,Italy,IT,Barajas - Elmas,519,79212,59373123,4696304,0.1334,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Palermo,PMO,LICJ,Italy,IT,Barajas - Palermo,474,78717,59373123,6936607,0.1326,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Koln Bonn,CGN,EDDK,Germany,DE,Barajas - Koln Bonn,473,78499,59373123,10641348,0.1322,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Bale Mulhouse,MLH,LFSB,France,FR,Barajas - Bale Mulhouse,NA,NA,59373123,8833877,NA,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Bron,LYN,LFLY,France,FR,Barajas - Bron,NA,NA,59373123,NA,NA,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,City,LCY,EGLC,Great Britain (United Kingdom),GB,Barajas - City,NA,NA,59373123,5121684,NA,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Eindhoven,EIN,EHEH,Netherlands (Holland),NL,Barajas - Eindhoven,NA,NA,59373123,6744047,NA,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Faro International,FAO,LPFR,Portugal,PT,Barajas - Faro International,NA,NA,59373123,NA,NA,ES,2019,TRUE
Barajas,MAD,LEMD,Spain,ES,Frankfurt Hahn,HHN,EDFH,Germany,DE,Barajas - Frankfurt Hahn,NA,NA,59373123,1394916,NA,ES,2019,TRUE
