"","TIME_PERIOD","depart_country","depart_airport","arrive_country","arrive_airport","route_name","total_flights","total_pax"
"1","2019","AT","LOWW","BE","EBBR","Schwechat - Brussels Natl",4494,483098
"2","2019","AT","LOWW","CH","LSZH","Schwechat - Zurich",7748,941007
"3","2019","AT","LOWW","DE","EDDF","Schwechat - Frankfurt Main",8663,1109793
"4","2019","AT","LOWW","DE","EDDM","Schwechat - Franz Josef Strauss",5328,535673
"5","2019","AT","LOWW","DK","EKCH","Schwechat - Kastrup",3530,455797
"6","2019","AT","LOWW","ES","LEBL","Schwechat - Barcelona",4393,639971
"7","2019","AT","LOWW","ES","LEMD","Schwechat - Barajas",3572,564332
"8","2019","AT","LOWW","FR","LFPG","Schwechat - Charles De Gaulle",6611,944503
"9","2019","AT","LOWW","IT","LIMC","Schwechat - Malpensa",4082,447436
"10","2019","AT","LOWW","IT","LIRF","Schwechat - Fiumicino",3860,558401
"11","2019","AT","LOWW","NL","EHAM","Schwechat - Schiphol",6985,943844
"12","2019","AT","LOWW","UK","EGKK","Schwechat - Gatwick",2040,286155
"13","2019","AT","LOWW","UK","EGLL","Schwechat - Heathrow",6030,833930
"14","2019","CH","LSZH","AT","LOWW","Zurich - Schwechat",7747,936787
"15","2019","CH","LSZH","BE","EBBR","Zurich - Brussels Natl",3299,321664
"16","2019","CH","LSZH","DE","EDDF","Zurich - Frankfurt Main",6808,651241
"17","2019","CH","LSZH","DE","EDDM","Zurich - Franz Josef Strauss",5346,374222
"18","2019","CH","LSZH","DK","EKCH","Zurich - Kastrup",3866,511231
"19","2019","CH","LSZH","ES","LEBL","Zurich - Barcelona",4023,654990
"20","2019","CH","LSZH","ES","LEMD","Zurich - Barajas",6193,688631
"21","2019","CH","LSZH","FR","LFPG","Zurich - Charles De Gaulle",6331,723183
"22","2019","CH","LSZH","IT","LIMC","Zurich - Malpensa",2881,203772
"23","2019","CH","LSZH","IT","LIRF","Zurich - Fiumicino",3520,404702
"24","2019","CH","LSZH","NL","EHAM","Zurich - Schiphol",7443,973561
"25","2019","CH","LSZH","UK","EGKK","Zurich - Gatwick",1107,156444
"26","2019","CH","LSZH","UK","EGLL","Zurich - Heathrow",9066,1180347
"27","2019","DE","EDDF","AT","LOWW","Frankfurt Main - Schwechat",8769,1108684
"28","2019","DE","EDDF","BE","EBBR","Frankfurt Main - Brussels Natl",5794,575995
"29","2019","DE","EDDF","CH","LSZH","Frankfurt Main - Zurich",7001,652977
"30","2019","DE","EDDF","DE","EDDM","Frankfurt Main - Franz Josef Strauss",9899,1146759
"31","2019","DE","EDDF","DK","EKCH","Frankfurt Main - Kastrup",5348,659775
"32","2019","DE","EDDF","ES","LEBL","Frankfurt Main - Barcelona",6097,1032627
"33","2019","DE","EDDF","ES","LEMD","Frankfurt Main - Barajas",7539,1087439
"34","2019","DE","EDDF","FR","LFPG","Frankfurt Main - Charles De Gaulle",9074,1042126
"35","2019","DE","EDDF","IT","LIMC","Frankfurt Main - Malpensa",5093,484638
"36","2019","DE","EDDF","IT","LIRF","Frankfurt Main - Fiumicino",5303,690648
"37","2019","DE","EDDF","NL","EHAM","Frankfurt Main - Schiphol",8215,880095
"38","2019","DE","EDDF","UK","EGLL","Frankfurt Main - Heathrow",12240,1542656
"39","2019","DE","EDDM","AT","LOWW","Franz Josef Strauss - Schwechat",5506,535417
"40","2019","DE","EDDM","BE","EBBR","Franz Josef Strauss - Brussels Natl",4570,437460
"41","2019","DE","EDDM","CH","LSZH","Franz Josef Strauss - Zurich",5525,376833
"42","2019","DE","EDDM","DE","EDDF","Franz Josef Strauss - Frankfurt Main",9895,1146439
"43","2019","DE","EDDM","DK","EKCH","Franz Josef Strauss - Kastrup",4934,511402
"44","2019","DE","EDDM","ES","LEBL","Franz Josef Strauss - Barcelona",5847,886610
"45","2019","DE","EDDM","ES","LEMD","Franz Josef Strauss - Barajas",6408,897394
"46","2019","DE","EDDM","FR","LFPG","Franz Josef Strauss - Charles De Gaulle",7976,1014177
"47","2019","DE","EDDM","IT","LIMC","Franz Josef Strauss - Malpensa",5059,502175
"48","2019","DE","EDDM","IT","LIRF","Franz Josef Strauss - Fiumicino",5193,716500
"49","2019","DE","EDDM","NL","EHAM","Franz Josef Strauss - Schiphol",8379,968673
"50","2019","DE","EDDM","UK","EGKK","Franz Josef Strauss - Gatwick",1784,256736
"51","2019","DE","EDDM","UK","EGLL","Franz Josef Strauss - Heathrow",10299,1261876
"52","2019","ES","LEBL","AT","LOWW","Barcelona - Schwechat",4432,641536
"53","2019","ES","LEBL","BE","EBBR","Barcelona - Brussels Natl",5942,951486
