start_airport,start_icao,end_airport,end_icao,route_name,route_passengers,start_pax_total,end_pax_total,start_pax_pct,year,data_quality
Schwechat,LOWW,Tirana Rinas,LATI,Schwechat - Tirana Rinas,186878,31258901,NA,0.6,2019,missing_end_pax
Schwechat,LOWW,Graz,LOWG,Schwechat - Graz,131536,31258901,899161,0.42,2019,complete
Schwechat,LOWW,Innsbruck,LOWI,Schwechat - Innsbruck,204473,31258901,949950,0.65,2019,complete
Schwechat,LOWW,Klagenfurt,LOWK,Schwechat - Klagenfurt,119543,31258901,197478,0.38,2019,complete
Schwechat,LOWW,Blue Danube,LOWL,Schwechat - Blue Danube,2831789.7921519526,31258901,256536,NA,2019,complete
Schwechat,LOWW,Wolfgang A. Mozart,LOWS,Schwechat - Wolfgang A. Mozart,92313,31258901,1479739,0.3,2019,complete
Schwechat,LOWW,Sarajevo,LQSA,Schwechat - Sarajevo,159292,31258901,NA,0.51,2019,missing_end_pax
Schwechat,LOWW,Brussels South,EBCI,Schwechat - Brussels South,16006870.28573987,31258901,8196702,NA,2019,complete
Schwechat,LOWW,Bale Mulhouse,LFSB,Schwechat - Bale Mulhouse,196972,31258901,8271471,0.63,2019,complete
Schwechat,LOWW,Bale Mulhouse,LFSB,Schwechat - Bale Mulhouse,196972,31258901,562406,0.63,2019,complete
Schwechat,LOWW,Geneve Cointrin,LSGG,Schwechat - Geneve Cointrin,289265,31258901,17742225,0.93,2019,complete
Schwechat,LOWW,Zurich,LSZH,Schwechat - Zurich,940410,31258901,31292970,3.01,2019,complete
Schwechat,LOWW,St Gallen Altenrhein,LSZR,Schwechat - St Gallen Altenrhein,83403,31258901,107485,0.27,2019,complete
Schwechat,LOWW,Schonefeld,EDDB,Schwechat - Schonefeld,18566955.867952023,31258901,11028278,NA,2019,complete
Schwechat,LOWW,Berlin Brandenburg Willy Brandt,EDDB,Schwechat - Berlin Brandenburg Willy Brandt,18566955.867952023,31258901,11028278,NA,2019,complete
Schwechat,LOWW,Hamburg,EDDH,Schwechat - Hamburg,720332,31258901,16279030,2.3,2019,complete
Schwechat,LOWW,Koln Bonn,EDDK,Schwechat - Koln Bonn,373014,31258901,10641348,1.19,2019,complete
Schwechat,LOWW,Dusseldorf,EDDL,Schwechat - Dusseldorf,771175,31258901,24588161,2.47,2019,complete
Schwechat,LOWW,Nurnberg,EDDN,Schwechat - Nurnberg,10439676.556387464,31258901,3486586,NA,2019,complete
Schwechat,LOWW,Stuttgart,EDDS,Schwechat - Stuttgart,556925,31258901,12275312,1.78,2019,complete
Schwechat,LOWW,Tegel,EDDT,Schwechat - Tegel,966659,31258901,24008455,3.09,2019,complete
Schwechat,LOWW,Hannover,EDDV,Schwechat - Hannover,223481,31258901,5908901,0.71,2019,complete
Schwechat,LOWW,Dortmund,EDLW,Schwechat - Dortmund,108276,31258901,2691042,0.35,2019,complete
Schwechat,LOWW,HBF RAILWAY STATION,EDLW,Schwechat - HBF RAILWAY STATION,108276,31258901,2691042,0.35,2019,complete
Schwechat,LOWW,Eleftherios Venizelos Intl,LGAV,Schwechat - Eleftherios Venizelos Intl,330018,31258901,NA,1.06,2019,missing_end_pax
Schwechat,LOWW,Nikos Kazantzakis,LGIR,Schwechat - Nikos Kazantzakis,107615,31258901,NA,0.34,2019,missing_end_pax
Schwechat,LOWW,Kos,LGKO,Schwechat - Kos,NA,31258901,NA,NA,2019,missing_end_pax
Schwechat,LOWW,Ioannis Kapodistrias Intl,LGKR,Schwechat - Ioannis Kapodistrias Intl,NA,31258901,NA,NA,2019,missing_end_pax
Schwechat,LOWW,Rhodes Diagoras,LGRP,Schwechat - Rhodes Diagoras,78095,31258901,NA,0.25,2019,missing_end_pax
Schwechat,LOWW,Makedonia,LGTS,Schwechat - Makedonia,159367,31258901,NA,0.51,2019,missing_end_pax
Schwechat,LOWW,Gran Canaria,GCLP,Schwechat - Gran Canaria,18708106.65572802,31258901,11196595,NA,2019,complete
