start_icao,start_iata,total_routes,suitable_routes,route_share,suitable_pax,total_passengers,passenger_share
EDDF,FRA,61,39,0.639344262295082,19005336,27085503,0.7016792710107691
EDDM,MUC,62,36,0.5806451612903226,17574169,24927254,0.7050182503054688
EGKK,LGW,55,0,0,0,22085746,0
EGLL,LHR,41,0,0,0,24935774,0
EGSS,STN,63,0,0,0,14483120,0
EHAM,AMS,77,35,0.45454545454545453,15967194,33434828,0.47756172096952315
EKCH,CPH,43,19,0.4418604651162791,6709238,14411346,0.46555248899027196
LEBL,BCN,68,40,0.5882352941176471,20923386,35994606,0.5812922636241663
LEMD,MAD,73,37,0.5068493150684932,19363210,37163303,0.5210303831174533
LFPG,CDG,64,35,0.546875,19469886,29291158,0.6647018188901921
LFPO,ORY,44,25,0.5681818181818182,13030816,20697559,0.6295822613671497
LIMC,MXP,41,20,0.4878048780487805,8421090,15882550,0.5302101992438242
LIRF,FCO,52,0,0,0,24733084,0
LOWW,VIE,42,27,0.6428571428571429,11064087,16067492,0.6886007473972914
LSZH,ZRH,37,0,0,0,14946232,0
